TEST CASE #2 : Scattering Problem

NODAL POINT COORDINATES:

NODE #  1 	 X= 2.000 	 Y= 0.000 
NODE #  47 	 X= -1.937 	 Y= 0.497 
NODE #  48 	 X= -1.965 	 Y= 0.375 
NODE #  49 	 X= -1.984 	 Y= 0.251 
NODE #  50 	 X= -1.996 	 Y= 0.126 
NODE #  51 	 X= -2.000 	 Y= -0.000 
NODE #  52 	 X= -1.996 	 Y= -0.126 
NODE #  53 	 X= -1.984 	 Y= -0.251 
NODE #  54 	 X= -1.965 	 Y= -0.375 
NODE #  55 	 X= -1.937 	 Y= -0.497 
NODE #  56 	 X= -1.902 	 Y= -0.618 
NODE #  57 	 X= -1.860 	 Y= -0.736 
NODE #  58 	 X= -1.810 	 Y= -0.852 
NODE #  59 	 X= -1.753 	 Y= -0.964 
NODE #  60 	 X= -1.689 	 Y= -1.072 
NODE #  61 	 X= -1.618 	 Y= -1.176 
NODE #  62 	 X= -1.541 	 Y= -1.275 
NODE #  63 	 X= -1.458 	 Y= -1.369 
NODE #  64 	 X= -1.369 	 Y= -1.458 
NODE #  65 	 X= -1.275 	 Y= -1.541 
NODE #  66 	 X= -1.176 	 Y= -1.618 
NODE #  67 	 X= -1.072 	 Y= -1.689 
NODE #  68 	 X= -0.964 	 Y= -1.753 
NODE #  69 	 X= -0.852 	 Y= -1.810 
NODE #  70 	 X= -0.736 	 Y= -1.860 
NODE #  71 	 X= -0.618 	 Y= -1.902 
NODE #  72 	 X= -0.497 	 Y= -1.937 
NODE #  73 	 X= -0.375 	 Y= -1.965 
NODE #  74 	 X= -0.251 	 Y= -1.984 
NODE #  75 	 X= -0.126 	 Y= -1.996 
NODE #  76 	 X= -0.000 	 Y= -2.000 
NODE #  77 	 X= 0.126 	 Y= -1.996 
NODE #  78 	 X= 0.251 	 Y= -1.984 
NODE #  79 	 X= 0.375 	 Y= -1.965 
NODE #  80 	 X= 0.497 	 Y= -1.937 
NODE #  81 	 X= 0.618 	 Y= -1.902 
NODE #  82 	 X= 0.736 	 Y= -1.860 
NODE #  83 	 X= 0.852 	 Y= -1.810 
NODE #  84 	 X= 0.964 	 Y= -1.753 
NODE #  85 	 X= 1.072 	 Y= -1.689 
NODE #  86 	 X= 1.176 	 Y= -1.618 
NODE #  87 	 X= 1.275 	 Y= -1.541 
NODE #  88 	 X= 1.369 	 Y= -1.458 
NODE #  89 	 X= 1.458 	 Y= -1.369 
NODE #  90 	 X= 1.541 	 Y= -1.275 
NODE #  91 	 X= 1.618 	 Y= -1.176 
NODE #  92 	 X= 1.689 	 Y= -1.072 
NODE #  93 	 X= 1.753 	 Y= -0.964 
NODE #  94 	 X= 1.810 	 Y= -0.852 
NODE #  95 	 X= 1.860 	 Y= -0.736 
NODE #  96 	 X= 1.902 	 Y= -0.618 
NODE #  97 	 X= 1.937 	 Y= -0.497 
NODE #  98 	 X= 1.965 	 Y= -0.375 
NODE #  99 	 X= 1.984 	 Y= -0.251 
NODE #  100 	 X= 1.996 	 Y= -0.126 

 ELEMENT CONNECTIVITY:  
 
ELEMENT # 1 	 DEGREE= 2 	NODES= 0.0  1.0  2.0 
ELEMENT # 2 	 DEGREE= 2 	NODES= 2.0  3.0  4.0 
ELEMENT # 3 	 DEGREE= 2 	NODES= 4.0  5.0  6.0 
ELEMENT # 4 	 DEGREE= 2 	NODES= 6.0  7.0  8.0 
ELEMENT # 5 	 DEGREE= 2 	NODES= 8.0  9.0  10.0 
ELEMENT # 6 	 DEGREE= 2 	NODES= 10.0  11.0  12.0 
ELEMENT # 7 	 DEGREE= 2 	NODES= 12.0  13.0  14.0 
ELEMENT # 8 	 DEGREE= 2 	NODES= 14.0  15.0  16.0 
ELEMENT # 9 	 DEGREE= 2 	NODES= 16.0  17.0  18.0 
ELEMENT # 10 	 DEGREE= 2 	NODES= 18.0  19.0  20.0 
ELEMENT # 11 	 DEGREE= 2 	NODES= 20.0  21.0  22.0 
ELEMENT # 12 	 DEGREE= 2 	NODES= 22.0  23.0  24.0 
ELEMENT # 13 	 DEGREE= 2 	NODES= 24.0  25.0  26.0 
ELEMENT # 14 	 DEGREE= 2 	NODES= 26.0  27.0  28.0 
ELEMENT # 15 	 DEGREE= 2 	NODES= 28.0  29.0  30.0 
ELEMENT # 16 	 DEGREE= 2 	NODES= 30.0  31.0  32.0 
ELEMENT # 17 	 DEGREE= 2 	NODES= 32.0  33.0  34.0 
ELEMENT # 18 	 DEGREE= 2 	NODES= 34.0  35.0  36.0 
ELEMENT # 19 	 DEGREE= 2 	NODES= 36.0  37.0  38.0 
ELEMENT # 20 	 DEGREE= 2 	NODES= 38.0  39.0  40.0 
ELEMENT # 21 	 DEGREE= 2 	NODES= 40.0  41.0  42.0 
ELEMENT # 22 	 DEGREE= 2 	NODES= 42.0  43.0  44.0 
ELEMENT # 23 	 DEGREE= 2 	NODES= 44.0  45.0  46.0 
ELEMENT # 24 	 DEGREE= 2 	NODES= 46.0  47.0  48.0 
ELEMENT # 25 	 DEGREE= 2 	NODES= 48.0  49.0  50.0 
ELEMENT # 26 	 DEGREE= 2 	NODES= 50.0  51.0  52.0 
ELEMENT # 27 	 DEGREE= 2 	NODES= 52.0  53.0  54.0 
ELEMENT # 28 	 DEGREE= 2 	NODES= 54.0  55.0  56.0 
ELEMENT # 29 	 DEGREE= 2 	NODES= 56.0  57.0  58.0 
ELEMENT # 30 	 DEGREE= 2 	NODES= 58.0  59.0  60.0 
ELEMENT # 31 	 DEGREE= 2 	NODES= 60.0  61.0  62.0 
ELEMENT # 32 	 DEGREE= 2 	NODES= 62.0  63.0  64.0 
ELEMENT # 33 	 DEGREE= 2 	NODES= 64.0  65.0  66.0 
ELEMENT # 34 	 DEGREE= 2 	NODES= 66.0  67.0  68.0 
ELEMENT # 35 	 DEGREE= 2 	NODES= 68.0  69.0  70.0 
ELEMENT # 36 	 DEGREE= 2 	NODES= 70.0  71.0  72.0 
ELEMENT # 37 	 DEGREE= 2 	NODES= 72.0  73.0  74.0 
ELEMENT # 38 	 DEGREE= 2 	NODES= 74.0  75.0  76.0 
ELEMENT # 39 	 DEGREE= 2 	NODES= 76.0  77.0  78.0 
ELEMENT # 40 	 DEGREE= 2 	NODES= 78.0  79.0  80.0 
ELEMENT # 41 	 DEGREE= 2 	NODES= 80.0  81.0  82.0 
ELEMENT # 42 	 DEGREE= 2 	NODES= 82.0  83.0  84.0 
ELEMENT # 43 	 DEGREE= 2 	NODES= 84.0  85.0  86.0 
ELEMENT # 44 	 DEGREE= 2 	NODES= 86.0  87.0  88.0 
ELEMENT # 45 	 DEGREE= 2 	NODES= 88.0  89.0  90.0 
ELEMENT # 46 	 DEGREE= 2 	NODES= 90.0  91.0  92.0 
ELEMENT # 47 	 DEGREE= 2 	NODES= 92.0  93.0  94.0 
ELEMENT # 48 	 DEGREE= 2 	NODES= 94.0  95.0  96.0 
ELEMENT # 49 	 DEGREE= 2 	NODES= 96.0  97.0  98.0 
ELEMENT # 50 	 DEGREE= 2 	NODES= 98.0  99.0  0.0 

 BOUNDARY CONDITIONS:  
 
ELEMENT #  1 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  2 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  3 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  4 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  5 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  6 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  7 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  8 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  9 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  10 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  11 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  12 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  13 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  14 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  15 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  16 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  17 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  18 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  19 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  20 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  21 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  22 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  23 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  24 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  25 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  26 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  27 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  28 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  29 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  30 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  31 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  32 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  33 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  34 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  35 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  36 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  37 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  38 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  39 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  40 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  41 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  42 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  43 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  44 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  45 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  46 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  47 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  48 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  49 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 
ELEMENT #  50 
LOCAL NODE #  1 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  2 	 CA= 0.000 CB= 1.000 CC= 0.500 
LOCAL NODE #  3 	 CA= 0.000 CB= 1.000 CC= 0.500 

 ==============EXTERIOR PROBLEM:=====================  
 
V infiniti = 10 

 CP ON THE NODES: 
 
NODE #  1 	 CP = 0.500 
NODE #  2 	 CP = 0.500 
NODE #  3 	 CP = 0.498 
NODE #  4 	 CP = 0.500 
NODE #  5 	 CP = 0.498 
NODE #  6 	 CP = 0.500 
NODE #  7 	 CP = 0.500 
NODE #  8 	 CP = 0.500 
NODE #  9 	 CP = 0.500 
NODE #  10 	 CP = 0.500 
NODE #  11 	 CP = 0.500 
NODE #  12 	 CP = 0.500 
NODE #  13 	 CP = 0.500 
NODE #  14 	 CP = 0.500 
NODE #  15 	 CP = 0.500 
NODE #  16 	 CP = 0.500 
NODE #  17 	 CP = 0.500 
NODE #  18 	 CP = 0.500 
NODE #  19 	 CP = 0.500 
NODE #  20 	 CP = 0.500 
NODE #  21 	 CP = 0.500 
NODE #  22 	 CP = 0.500 
NODE #  23 	 CP = 0.503 
NODE #  24 	 CP = 0.500 
NODE #  25 	 CP = 0.501 
NODE #  26 	 CP = 0.500 
NODE #  27 	 CP = 0.501 
NODE #  28 	 CP = 0.500 
NODE #  29 	 CP = 0.503 
NODE #  30 	 CP = 0.500 
NODE #  31 	 CP = 0.500 
NODE #  32 	 CP = 0.500 
NODE #  33 	 CP = 0.500 
NODE #  34 	 CP = 0.500 
NODE #  35 	 CP = 0.500 
NODE #  36 	 CP = 0.500 
NODE #  37 	 CP = 0.500 
NODE #  38 	 CP = 0.500 
NODE #  39 	 CP = 0.500 
NODE #  40 	 CP = 0.500 
NODE #  41 	 CP = 0.500 
NODE #  42 	 CP = 0.500 
NODE #  43 	 CP = 0.500 
NODE #  44 	 CP = 0.500 
NODE #  45 	 CP = 0.500 
NODE #  46 	 CP = 0.500 
NODE #  47 	 CP = 0.498 
NODE #  48 	 CP = 0.500 
NODE #  49 	 CP = 0.498 
NODE #  50 	 CP = 0.500 
NODE #  51 	 CP = 0.500 
NODE #  52 	 CP = 0.500 
NODE #  53 	 CP = 0.498 
NODE #  54 	 CP = 0.500 
NODE #  55 	 CP = 0.498 
NODE #  56 	 CP = 0.500 
NODE #  57 	 CP = 0.500 
NODE #  58 	 CP = 0.500 
NODE #  59 	 CP = 0.500 
NODE #  60 	 CP = 0.500 
NODE #  61 	 CP = 0.500 
NODE #  62 	 CP = 0.500 
NODE #  63 	 CP = 0.500 
NODE #  64 	 CP = 0.500 
NODE #  65 	 CP = 0.500 
NODE #  66 	 CP = 0.500 
NODE #  67 	 CP = 0.500 
NODE #  68 	 CP = 0.500 
NODE #  69 	 CP = 0.500 
NODE #  70 	 CP = 0.500 
NODE #  71 	 CP = 0.500 
NODE #  72 	 CP = 0.500 
NODE #  73 	 CP = 0.503 
NODE #  74 	 CP = 0.500 
NODE #  75 	 CP = 0.501 
NODE #  76 	 CP = 0.500 
NODE #  77 	 CP = 0.501 
NODE #  78 	 CP = 0.500 
NODE #  79 	 CP = 0.503 
NODE #  80 	 CP = 0.500 
NODE #  81 	 CP = 0.500 
NODE #  82 	 CP = 0.500 
NODE #  83 	 CP = 0.500 
NODE #  84 	 CP = 0.500 
NODE #  85 	 CP = 0.500 
NODE #  86 	 CP = 0.500 
NODE #  87 	 CP = 0.500 
NODE #  88 	 CP = 0.500 
NODE #  89 	 CP = 0.500 
NODE #  90 	 CP = 0.500 
NODE #  91 	 CP = 0.500 
NODE #  92 	 CP = 0.500 
NODE #  93 	 CP = 0.500 
NODE #  94 	 CP = 0.500 
NODE #  95 	 CP = 0.500 
NODE #  96 	 CP = 0.500 
NODE #  97 	 CP = 0.498 
NODE #  98 	 CP = 0.500 
NODE #  99 	 CP = 0.498 
NODE #  100 	 CP = 0.500 

 PHI ON THE BOUNDARY: 
 
NODE #  1 	 PHI = 39.310 
NODE #  2 	 PHI = 39.231 
NODE #  3 	 PHI = 38.995 
NODE #  4 	 PHI = 38.601 
NODE #  5 	 PHI = 38.054 
NODE #  6 	 PHI = 37.354 
NODE #  7 	 PHI = 36.507 
NODE #  8 	 PHI = 35.503 
NODE #  9 	 PHI = 34.359 
NODE #  10 	 PHI = 33.079 
NODE #  11 	 PHI = 31.662 
NODE #  12 	 PHI = 30.125 
NODE #  13 	 PHI = 28.468 
NODE #  14 	 PHI = 26.690 
NODE #  15 	 PHI = 24.811 
NODE #  16 	 PHI = 22.830 
NODE #  17 	 PHI = 20.747 
NODE #  18 	 PHI = 18.582 
NODE #  19 	 PHI = 16.338 
NODE #  20 	 PHI = 14.016 
NODE #  21 	 PHI = 11.658 
NODE #  22 	 PHI = 9.249 
NODE #  23 	 PHI = 6.804 
NODE #  24 	 PHI = 4.323 
NODE #  25 	 PHI = 1.829 
NODE #  26 	 PHI = -0.693 
NODE #  27 	 PHI = -3.215 
NODE #  28 	 PHI = -5.709 
NODE #  29 	 PHI = -8.191 
NODE #  30 	 PHI = -10.635 
NODE #  31 	 PHI = -13.044 
NODE #  32 	 PHI = -15.403 
NODE #  33 	 PHI = -17.725 
NODE #  34 	 PHI = -19.969 
NODE #  35 	 PHI = -22.133 
NODE #  36 	 PHI = -24.217 
NODE #  37 	 PHI = -26.197 
NODE #  38 	 PHI = -28.077 
NODE #  39 	 PHI = -29.854 
NODE #  40 	 PHI = -31.512 
NODE #  41 	 PHI = -33.049 
NODE #  42 	 PHI = -34.466 
NODE #  43 	 PHI = -35.746 
NODE #  44 	 PHI = -36.890 
NODE #  45 	 PHI = -37.894 
NODE #  46 	 PHI = -38.741 
